39.79.20;["Embolizzazione o occlusione mediante spirali di altri vasi, NAS"]
39.79.21;["Embolizzazione o occlusione mediante spirali dell'arto superiore"]
39.79.22;["Embolizzazione o occlusione mediante spirali dell'aorta"]
39.79.23;["Embolizzazione o occlusione mediante spirali del dotto arterioso pervio"]
39.79.24;["Embolizzazione o occlusione mediante spirali di vasi toracici"]
39.79.25;["Embolizzazione o occlusione mediante spirali di vasi viscerali"];Vasi renali
39.79.26;["Embolizzazione o occlusione mediante spirali di vasi addominali"]
39.79.27;["Embolizzazione o occlusione mediante spirali dell'arto inferiore"]
39.79.28;["Embolizzazione o occlusione mediante spirali di vasi spinali"]
39.79.29;["Embolizzazione o occlusione mediante spirali di altri vasi, altro"]
39.79.30;["Embolizzazione selettiva con liquidi embolizzanti di altri vasi, NAS"]
39.79.31;["Embolizzazione selettiva con liquidi embolizzanti di vasi dell'arto superiore"]
39.79.32;["Embolizzazione selettiva con liquidi embolizzanti dell'aorta"]
39.79.33;["Embolizzazione selettiva con liquidi embolizzanti del dotto arterioso pervio"]
39.79.34;["Embolizzazione selettiva con liquidi embolizzanti di vasi toracici"]
39.79.35;["Embolizzazione selettiva con liquidi embolizzanti di vasi viscerali"];Vasi renali
39.79.36;["Embolizzazione selettiva con liquidi embolizzanti di vasi addominali"]
39.79.37;["Embolizzazione selettiva con liquidi embolizzanti di vasi dell'arto inferiore"]
39.79.38;["Embolizzazione selettiva con liquidi embolizzanti di vasi spinali"];Embolizzazione con sostanza adesiva (es. ONYX)
39.79.39;["Embolizzazione selettiva con liquidi embolizzanti di altri vasi, altro"]
39.79.40;["Embolizzazione selettiva con palloncini staccabili di altri vasi, NAS"]
39.79.41;["Embolizzazione selettiva con palloncini staccabili di vasi dell'arto superiore"]
39.79.42;["Embolizzazione selettiva con palloncini staccabili dell'aorta"]
39.79.43;["Embolizzazione selettiva con palloncini staccabili del dotto arterioso pervio"]
39.79.44;["Embolizzazione selettiva con palloncini staccabili di vasi toracici"]
39.79.45;["Embolizzazione selettiva con palloncini staccabili di vasi viscerali"];Vasi renali
39.79.46;["Embolizzazione selettiva con palloncini staccabili di vasi addominali"]
39.79.47;["Embolizzazione selettiva con palloncini staccabili di vasi spinali"]
39.79.48;["Embolizzazione selettiva con palloncini staccabili di vasi dell'arto inferiore"]
39.79.49;["Embolizzazione selettiva con palloncini staccabili di altri vasi, altro"]
39.79.50;["Embolizzazione selettiva con filtri di altri vasi, NAS"]
39.79.51;["Embolizzazione selettiva con filtri di vasi dell'arto superiore"]
39.79.53;["Embolizzazione selettiva con filtri del dotto arterioso pervio"]
39.79.54;["Embolizzazione selettiva con filtri di vasi toracici"]
39.79.55;["Embolizzazione selettiva con filtri di vasi viscerali"];Vasi renali
39.79.56;["Embolizzazione selettiva con filtri di vasi addominali"]
39.79.57;["Embolizzazione selettiva con filtri di vasi dell'arto inferiore"]
39.79.58;["Embolizzazione selettiva con filtri di vasi spinali"]
39.79.59;["Embolizzazione selettiva con filtri di altri vasi, altro"]
39.79.60;["Embolizzazione selettiva con particelle di altri vasi, NAS"]
39.79.61;["Embolizzazione selettiva con particelle di vasi dell'arto superiore"]
39.79.62;["Embolizzazione selettiva con particelle dell'aorta"]
39.79.63;["Embolizzazione selettiva con particelle del dotto arterioso pervio"]
39.79.64;["Embolizzazione selettiva con particelle di vasi toracici"]
39.79.65;["Embolizzazione selettiva con particelle di vasi viscerali"];Vasi renali
39.79.66;["Embolizzazione selettiva con particelle di vasi addominali"]
39.79.67;["Embolizzazione selettiva con particelle di vasi dell'arto inferiore"]
39.79.68;["Embolizzazione selettiva con particelle di vasi spinali"]
39.79.69;["Embolizzazione selettiva con particelle di altri vasi, altro"]
39.79.70;["Occlusione mediante cateterismo con laser di arterie, altri vasi, NAS"]
39.79.71;["Occlusione mediante cateterismo con laser, di arterie dell'arto superiore"]
39.79.72;["Occlusione mediante cateterismo con laser, dell'aorta"]
39.79.74;["Occlusione mediante cateterismo con laser, di vasi toracici"]
39.79.75;["Occlusione mediante cateterismo con laser, di vasi dell'arto inferiore"]
39.79.76;["Occlusione mediante cateterismo con laser, di vasi viscerali"];Vasi renali
39.79.77;["Occlusione mediante cateterismo con laser, di vasi addominali"]
39.79.79;["Occlusione mediante cateterismo con laser di arterie, altri vasi, altro"]
39.79.80;["Occlusione mediante cateterismo con radiofrequenza di arterie, altri vasi, NAS"]
39.79.81;["Occlusione mediante cateterismo con radiofrequenza, di arterie dell'arto superiore"]
39.79.82;["Occlusione mediante cateterismo con radiofrequenza dell'aorta"]
39.79.84;["Occlusione mediante cateterismo con radiofrequenza di vasi toracici"]
39.79.85;["Occlusione mediante cateterismo con radiofrequenza di vasi dell'arto inferiore"]
39.79.86;["Occlusione mediante cateterismo con radiofrequenza di vasi viscerali"];Vasi renali
39.79.87;["Occlusione mediante cateterismo con radiofrequenza di vasi addominali"]
39.79.89;["Occlusione mediante cateterismo con radiofrequenza di altri vasi, altro"]
39.79.99;["Altra riparazione endovascolare (d'aneurisma) di altri vasi, altro"]
39.8;["Interventi sul glomo carotideo, sul seno carotideo e su altri glomi vascolari"];Chemodectomia;Denervazione di corpuscolo aortico;Denervazione di cospuscolo carotideo;Glomectomia della carotide;Impianto nel corpuscolo carotideo di pace-maker;Impianto nel corpuscolo carotideo di stimolatore elettronico;Impianto o sostituzione di dispositivo di attivazione del baroriflesso nel seno carotideo
39.8X;["Interventi sul glomo carotideo, sul seno carotideo e su altri glomi vascolari"]
39.8X.00;["Interventi sul glomo carotideo, sul seno carotideo e su altri glomi vascolari, NAS"]
39.8X.10;["Esplorazione del glomo carotideo e di altri glomi vascolari"]
39.8X.11;["Asportazione del glomo carotideo e di altri glomi vascolari"]
39.8X.20;["Impianto o sostituzione di generatore di impulsi per l’attivazione del baroriflesso"];I rispettivi elettrodi (39.8X.30 – 39.8X.32)
39.8X.21;["Revisione (senza sostituzione) di generatore di impulsi per l’attivazione del baroriflesso"]
39.8X.22;["Rimozione di generatore di impulsi per l’attivazione del baroriflesso"]
39.8X.30;["Impianto o sostituzione di elettrodo(i) per l’attivazione del baroriflesso"]
39.8X.31;["Revisione (senza sostituzione) di elettrodo(i) per l’attivazione del baroriflesso"]
39.8X.99;["Interventi sul glomo carotideo, sul seno carotideo e su altri glomi vascolari, altro"]
39.90;["Inserzione di stent(s) di vasi periferici senza liberazione di sostanza medicamentosa"];Endoprotesi;Protesi endovascolare(i);Stent graft(s);Stent(s) convenzionali;Stent(s) ricoperto(i) di sostanze medicamentose, per es. eparina;Tecniche di ricanalizzazione endovascolare;Angioplastica o aterectomia non-coronarica (39.50);Numero di stent vascolari inseriti (00.45-00.48);Numero di vasi trattati (00.40-00.43)
39.90.00;["Inserzione di stent(s) di vasi periferici senza liberazione di sostanza medicamentosa, NAS"]
39.90.10;["Inserzione di stent(s) vascolari in vasi non cardiaci, bare stents"]
39.90.11;["Inserzione di stent(s) vascolari in vasi non cardiaci, stents bioassorbibili"]
39.90.12;["Inserzione di stent(s) vascolari in vasi non cardiaci, stents di grande diametro NAS"]
39.90.13;["Inserzione di stent(s) vascolari in vasi non cardiaci, stents di grande diametro non ricoperti"]
39.90.14;["Inserzione di stent(s) vascolari in vasi non cardiaci, stents di grande diametro ricoperti"]
39.90.15;["Inserzione di stent(s) vascolari in vasi non cardiaci, stents ricoperti (stentgraft) in vasi non aneurismatici"]
39.90.16;["Inserzione di stent(s) vascolari in vasi non cardiaci, stent ricoperti (stentgraft) con superficie bioattiva"]
39.90.19;["Inserzione di stent(s) vascolari in vasi non cardiaci, altri stents"]
39.90.30;["Inserzione di stents extralunghi (> 10 cm) in vasi non cardiaci, NAS"]
39.90.31;["Inserzione di bare stents extralunghi (> 10 cm) in vasi non cardiaci"]
39.90.32;["Inserzione di stents ricoperti extralunghi (> 10 cm) in vasi non cardiaci"]
39.90.39;["Inserzione di stents extralunghi (> 10 cm) in vasi non cardiaci, altro"]
39.91;["Sbrigliamento dei vasi"];Dissezione e sbrigliamento di tessuto aderente: fascio arteria-vena-nervo;Dissezione e sbrigliamento di tessuto aderente: fascio vascolare
39.92;["Iniezione intravenosa di sostanze sclerosanti"]
39.93;["Inserzione di cannula intervasale"];Formazione di fistola arteriovenosa per mezzo di cannula esterna;Formazione di shunt arteriovenoso per mezzo di cannula esterna;Ogni dialisi renale (39.95)
39.94;["Sostituzione di cannula intervasale"];Revisione di cannula intervasale
39.95;["Emodialisi"];Dialisi renale;Emodiafiltrazione;Emofiltrazione;Rene artificiale
39.95.10;["Emodialisi: NAS"]
39.95.19;["Emodialisi: altro"]
39.95.20;["Emodialisi: Intermittente, NAS"]
39.95.21;["Emodialisi: Intermittente, anticoagulazione con eparina o senza anticoagulazione"]
39.95.22;["Emodialisi: Intermittente, anticoagulazione con altre sostanze"]
39.95.23;["Emodialisi: Prolungata intermittente, anticoagulazione con eparina o senza anticoagulazione"]
39.95.24;["Emodialisi: Prolungata intermittente, anticoagulazione con altre sostanze"]
39.95.3;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD)"]
39.95.30;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con eparina o senza anticoagulazione, NAS"]
39.95.31;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con eparina o senza anticoagulazione: Fino a 24 ore"]
39.95.32;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con eparina o senza anticoagulazione: Da 24 a 72 ore"]
39.95.33;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con eparina o senza anticoagulazione: Da 72 a 144 ore"]
39.95.34;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con eparina o senza anticoagulazione: Da 144 a 264 ore"]
39.95.35;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con eparina o senza anticoagulazione: Da 264 a 432 ore"]
39.95.39;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con eparina o senza anticoagulazione: Più ore"]
39.95.40;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con altre sostanze, NAS"]
39.95.41;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con altre sostanze: Fino a 24 ore"]
39.95.42;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con altre sostanze: Da 24 a 72 ore"]
39.95.43;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con altre sostanze: Da 72 a 144 ore"]
39.95.44;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con altre sostanze: Da 144 a 264 ore"]
39.95.45;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con altre sostanze: Da 264 a 432 ore"]
39.95.49;["Emodialisi: Continua, veno-venosa, con pompa (CVVHD), anticoagulazione con altre sostanze: Più ore"]
39.95.5;["Assistenza o sostituzione della funzione renale mediante emofiltrazione"]
39.95.50;["Emofiltrazione: NAS"]
39.95.59;["Emofiltrazione, altro"]
39.95.60;["Emofiltrazione: Intermittente, NAS"]
39.95.61;["Emofiltrazione: Intermittente, anticoagulazione con eparina o senza anticoagulazione"]
39.95.62;["Emofiltrazione: Intermittente, anticoagulazione con altre sostanze"]
39.95.63;["Emofiltrazione: Prolungata intermittente, anticoagulazione con eparina o senza anticoagulazione"]
39.95.64;["Emofiltrazione: Prolungata intermittente, anticoagulazione con altre sostanze"]
39.95.7;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH)"]
39.95.70;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con eparina o senza anticoagulazione, NAS"]
39.95.71;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con eparina o senza anticoagulazione: Fino a 24 ore"]
39.95.72;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con eparina o senza anticoagulazione: Da 24 a 72 ore"]
39.95.73;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con eparina o senza anticoagulazione: Da 72 a 144 ore"]
39.95.74;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con eparina o senza anticoagulazione: Da 144 a 264 ore"]
39.95.75;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con eparina o senza anticoagulazione: Da 264 a 432 ore"]
39.95.79;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con eparina o senza anticoagulazione: Più ore"]
39.95.80;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con altre sostanze, NAS"]
39.95.81;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con altre sostanze: Fino a 24 ore"]
39.95.82;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con altre sostanze: Da 24 a 72 ore"]
39.95.83;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con altre sostanze: Da 72 a 144 ore"]
39.95.84;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con altre sostanze: Da 144 a 264 ore"]
39.95.85;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con altre sostanze: Da 264 a 432 ore"]
39.95.89;["Emofiltrazione: Continua, veno-venosa, con pompa (CVVH), anticoagulazione con altre sostanze: Più ore"]
39.95.A0;["Emofiltrazione: Continua, arteriovenosa (CAVH), NAS"]
39.95.A1;["Emofiltrazione: Continua, arteriovenosa (CAVH): Fino a 24 ore"]
39.95.A2;["Emofiltrazione: Continua, arteriovenosa (CAVH): Da 24 a 72 ore"]
39.95.A3;["Emofiltrazione: Continua, arteriovenosa (CAVH): Da 72 a 144 ore"]
39.95.A4;["Emofiltrazione: Continua, arteriovenosa (CAVH): Da 144 a 264 ore"]
39.95.A5;["Emofiltrazione: Continua, arteriovenosa (CAVH): Da 264 a 432 ore"]
39.95.A9;["Emofiltrazione: Continua, arteriovenosa (CAVH): Più ore"]
39.95.B;["Assistenza o sostituzione della funzione renale mediante emodiafiltrazione: Intermittente"]
39.95.B0;["Emodiafiltrazione: Intermittente, NAS"]
39.95.B1;["Emodiafiltrazione: Intermittente, anticoagulazione con eparina o senza anticoagulazione"]
39.95.B2;["Emodiafiltrazione: Intermittente, anticoagulazione con altre sostanze"]
39.95.B3;["Emodiafiltrazione: Prolungata intermittente, anticoagulazione con eparina o senza anticoagulazione"]
39.95.B9;["Emodiafiltrazione: Prolungata intermittente, anticoagulazione con altre sostanze"]
39.95.C;["Assistenza o sostituzione della funzione renale mediante emodiafiltrazione: Continua, veno-venosa"]
39.95.C0;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con eparina o senza anticoagulazione, NAS"]
39.95.C1;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con eparina o senza anticoagulazione: Fino a 24 ore"]
39.95.C2;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con eparina o senza anticoagulazione: Da 24 a 72 ore"]
39.95.C3;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con eparina o senza anticoagulazione: Da 72 a 144 ore"]
39.95.C4;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con eparina o senza anticoagulazione: Da 144 a 264 ore"]
39.95.C5;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con eparina o senza anticoagulazione: Da 264 a 432 ore"]
39.95.C9;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con eparina o senza anticoagulazione: Più ore"]
39.95.D0;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con altre sostanze, NAS"]
39.95.D1;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con altre sostanze: Fino a 24 ore"]
39.95.D2;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con altre sostanze: Da 24 a 72 ore"]
39.95.D3;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con altre sostanze: Da 72 a 144 ore"]
39.95.D4;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con altre sostanze: Da 144 a 264 ore"]
39.95.D5;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con altre sostanze: Da 264 a 432 ore"]
39.95.D9;["Emodiafiltrazione: Continua, veno-venosa, con pompa (CVVHDF), anticoagulazione con altre sostanze: Più di 432 ore"]
39.95.E;["Assistenza o sostituzione della funzione renale mediante emodiafiltrazione: Continua, arteriovenosa (CAVHDF)"]
39.95.E0;["Emodiafiltrazione: Continua, arteriovenosa (CAVHDF), NAS"]
39.95.E1;["Emodiafiltrazione: Continua, arteriovenosa (CAVHDF): Fino a 24 ore"]
39.95.E2;["Emodiafiltrazione: Continua, arteriovenosa (CAVHDF): Da 24 a 72 ore"]
39.95.E3;["Emodiafiltrazione: Continua, arteriovenosa (CAVHDF): Da 72 a 144 ore"]
39.95.E4;["Emodiafiltrazione: Continua, arteriovenosa (CAVHDF): Da 144 a 264 ore"]
39.95.E5;["Emodiafiltrazione: Continua, arteriovenosa (CAVHDF): Da 264 a 432 ore"]
39.95.E9;["Emodiafiltrazione: Continua, arteriovenosa (CAVHDF): Più ore"]
39.95.F;["Procedura di sostituzione renale per la terapia dell'insufficienza del trapianto (di rene): intermittente"]
39.95.F0;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene), NAS"]
39.95.F1;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Intermittente: Da 1 a 3 trattamenti"]
39.95.F2;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Intermittente: Da 4 a 5 trattamenti"]
39.95.F3;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Intermittente: Da 6 a 10 trattamenti"]
39.95.F9;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Intermittente: Più trattamenti"]
39.95.G;["Procedura di sostituzione renale per la terapia dell'insufficienza del trapianto (di rene): continua"]
39.95.G0;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Continua, NAS"]
39.95.G1;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Continua: Fino a 24 ore"]
39.95.G2;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Continua: Da 24 a 72 ore"]
39.95.G3;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Continua: Da 72 a 144 ore"]
39.95.G4;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Continua: Da 144 a 264 ore"]
39.95.G5;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Continua: Da 264 a 432 ore"]
39.95.G9;["Procedura di sostituzione renale per la terapia dell`insufficienza del trapianto (di rene): Continua: Più ore"]
39.96;["Perfusione totale del corpo"];Eventuale sostanza perfusa (99.2)
39.97;["Altra perfusione"];Perfusione, locale [regionale] del collo;Perfusione, locale [regionale] della testa;Perfusione, locale [regionale] di arteria carotide;Perfusione, locale [regionale] di arteria coronarica;Perfusione, locale [regionale] di arto inferiore;Perfusione, locale [regionale] di arto superiore;Perfusione, NAS;Eventuale sostanza perfusa (99.2)
39.97.10;["Perfusione isolata di arto"]
39.97.99;["Altra perfusione, altro"]
39.98;["Controllo di emorragia, NAS"];Angiotripsia;Controllo di emorragia post-operatoria, NAS;Venotripsia
39.99.21;["Interventi per anomalie congenite dell'istmo aortico (stenosi) o per arco aortico interrotto"]
39.99.22;["Interventi per anomalie congenite dell'arteria o vena polmonare o per arteria lusoria"]
39.99.23;["Interventi per anomalie congenite della vena cava"]
39.99.24;["Interventi per unifocalizzazione di vasi collaterali congeniti"]
39.99.30;["Intervento di occlusione mediante catetere del dotto arterioso di Botallo, NAS"]
39.99.31;["Intervento di occlusione mediante catetere del dotto arterioso di Botallo, con spirale (coil)"]
39.99.32;["Intervento di occlusione mediante catetere del dotto arterioso di Botallo, con Amplatzer duct occluder"]
39.99.38;["Intervento di occlusione mediante catetere del dotto arterioso di Botallo, altro"]
39.99.39;["Interventi per altre anomalie vascolari congenite"]
39.99.99;["Altri interventi sui vasi, altro"]
40.0;["Incisione di strutture linfatiche"]
40.11.10;["Biopsia a cielo aperto (mediante incisione) di linfonodo mediastinico, paraaortico, iliaco o pelvico"]
40.11.11;["Biopsia a cielo aperto (mediante incisione) di linfonodo cervicale, sopraclavicolare, ascellare o inguinale"]
40.11.20;["Biopsia chiusa [percutanea] [agobiopsia] di linfonodi"]
40.19;["Altre procedure diagnostiche sulle strutture linfatiche"]
40.19.00;["Altre procedure diagnostiche sulle strutture linfatiche, NAS"]
40.19.10;["Scintigrafia preoperatoria e misurazione con sonda nel quadro della linfoadenectomia del linfonodo sentinella"]
40.19.20;["Misurazione con sonda intraoperatoria della marcatura con radionuclidi nel quadro della linfoadenectomia del linfonodo sentinella"]
40.19.99;["Altre procedure diagnostiche sulle strutture linfatiche, altro"]
40.21.00;["Asportazione di linfonodo cervicale profondo, NAS"]
40.21.10;["Asportazione di singoli linfonodi e vasi linfatici, cervicali, senza marcatura"]
40.21.11;["Asportazione di singoli linfonodi e vasi linfatici, cervicali, con marcatura con radionuclidi o colorante (linfoadenectomia del linfonodo sentinella)"]
40.21.99;["Asportazione di linfonodo cervicale profondo, altro"]
40.22.00;["Asportazione di linfonodo mammario interno, NAS"]
40.22.20;["Asportazione di linfonodo mammario interno, chirurgica a cielo aperto"]
40.22.99;["Asportazione di linfonodo mammario interno, altro"]
40.23.00;["Asportazione di linfonodo ascellare, NAS"]
40.23.10;["Asportazione di linfonodo ascellare, senza marcatura"]
40.23.11;["Asportazione di linfonodo ascellare, con marcatura con radionuclidi o colorante (linfoadenectomia del linfonodo sentinella)"]
40.23.99;["Asportazione di linfonodo ascellare, altro"]
40.24.00;["Asportazione di linfonodo inguinale, NAS"]
40.24.10;["Asportazione di linfonodo inguinale, chirurgica a cielo aperto, senza marcatura"]
40.24.11;["Asportazione di linfonodo inguinale, con marcatura con radionuclidi o colorante (linfoadenectomia del linfonodo sentinella)"]
40.24.20;["Asportazione di linfonodo inguinale, per via laparoscopica"]
40.24.99;["Asportazione di linfonodo inguinale, altro"]
40.29;["Asportazione semplice di altre strutture linfatiche"];Asportazione di igroma cistico;Asportazione di linfangioma;Linfadenectomia singola
40.29.00;["Asportazione semplice di altre strutture linfatiche, NAS"]
40.29.10;["Asportazione di linfonodo mediastinico, NAS"]
40.29.11;["Asportazione di linfonodo mediastinico, chirurgica a cielo aperto"]
40.29.12;["Asportazione di linfonodo mediastinico, per via toracoscopica"]
40.29.19;["Asportazione di linfonodo mediastinico, altro"]
40.29.20;["Asportazione di linfonodo para-aortico"]
40.29.70;["Asportazione di linfangioma o di igroma cistico"]
40.29.80;["Asportazione di più stazioni linfonodali addominali (con biopsia epatica), NAS"]
40.29.81;["Asportazione di più stazioni linfonodali addominali (con biopsia epatica), chirurgica a cielo aperto [laparotomia di staging]"]
40.29.82;["Asportazione di più stazioni linfonodali addominali (con biopsia epatica), per via laparoscopica [laparoscopia di staging]"]
40.29.89;["Asportazione di più stazioni linfonodali addominali (con biopsia epatica), altro"]
40.29.99;["Asportazione semplice di altre strutture linfatiche, altro"]
40.3;["Asportazione di linfonodi regionali"];Asportazione allargata di linfonodi regionali;Asportazione di linfonodi regionali con asportazione dell'area di drenaggio linfatico incluso pelle, tessuto sottocutaneo e grasso
40.3X.09;["Asportazione di linfonodi regionali, altro"]
40.3X.10;["Linfoadenectomia regionale quale intervento indipendente, NAS"]
40.3X.11;["Linfoadenectomia regionale quale intervento indipendente, cervicale"]
40.3X.12;["Linfoadenectomia regionale quale intervento indipendente, ascellare"]
40.3X.13;["Linfoadenectomia regionale quale intervento indipendente, para-aortica, pelvica, otturatoria o iliaca"]
40.3X.14;["Linfoadenectomia regionale quale intervento indipendente, inguinale, chirurgica a cielo aperto"]
40.3X.15;["Linfoadenectomia regionale quale intervento indipendente, inguinale, per via laparoscopica"]
40.3X.16;["Linfoadenectomia regionale quale intervento indipendente, mediastinica e peribronchiale"]
40.3X.19;["Linfoadenectomia regionale quale intervento indipendente, altro"]
40.3X.20;["Linfoadenectomia regionale in corso di altro intervento, NAS"]
40.3X.21;["Linfoadenectomia regionale in corso di altro intervento, cervicale"]
40.3X.22;["Linfoadenectomia regionale in corso di altro altro intervento, ascellare"]
40.3X.23;["Linfoadenectomia regionale in corso di altro intervento, para-aortica, pelvica o iliaca"]
40.3X.24;["Linfoadenectomia regionale in corso di altro intervento, otturatoria"]
40.3X.25;["Linfoadenectomia regionale in corso di altro intervento, inguinale"]
40.3X.26;["Linfoadenectomia regionale in corso di altro intervento, mediastinica e peribronchiale"]
40.3X.29;["Linfoadenectomia regionale in corso di altro intervento, altro"]
40.4;["Asportazione radicale di linfonodi cervicali"];Resezione di linfonodi cervicali fino al muscolo e alle fascie profonde
40.41.00;["Dissezione radicale del collo monolaterale, NAS"]
40.41.10;["Dissezione selettiva (funzionale) del collo, sopraomoioidea (regione I-III)"]
40.41.11;["Dissezione selettiva (funzionale) del collo, laterale (regione II-IV)"]
40.41.12;["Dissezione selettiva (funzionale) del collo, anterolaterale (regione I-IV)"]
40.41.13;["Dissezione selettiva (funzionale) del collo, posterolaterale (regione II-IV)"]
40.41.14;["Dissezione selettiva (funzionale) del collo, centrale (regione VI)"]
40.41.20;["Dissezione radicale del collo (incl. modificata)"]
40.41.21;["Dissezione estesa del collo"]
40.41.99;["Dissezione radicale del collo monolaterale, altro"]
40.42;["Dissezione radicale del collo, bilaterale"]
40.50;["Asportazione radicale di linfonodi, NAS"];Dissezione linfonodale radicale, NAS
40.51.00;["Asportazione radicale dei linfonodi ascellari, NAS"]
40.51.10;["Asportazione radicale dei linfonodi ascellari quale intervento indipendente"]
40.51.11;["Asportazione radicale dei linfonodi ascellari nel quadro di un altro intervento"]
40.51.99;["Asportazione radicale dei linfonodi ascellari, altro"]
40.52.00;["Asportazione radicale dei linfonodi periaortici, NAS"]
40.52.10;["Asportazione radicale dei linfonodi retroperitoneali (para-aortici, paracavali) e pelvici quale intervento indipendente"]
40.52.11;["Asportazione radicale dei linfonodi retroperitoneali (para-aortici, paracavali) e pelvici nel quadro di un altro intervento"]
40.52.99;["Asportazione radicale dei linfonodi periaortici, altro"]
40.53.00;["Asportazione radicale dei linfonodi iliaci, NAS"]
40.53.10;["Asportazione radicale dei linfonodi iliaci quale intervento indipendente"]
40.53.11;["Asportazione radicale dei linfonodi iliaci in corso di altro intervento"]
40.53.99;["Asportazione radicale dei linfonodi iliaci, altro"]
40.54.00;["Asportazione radicale dei linfonodi della regione inguinale, NAS"]
40.54.10;["Asportazione radicale dei linfonodi della regione inguinale quale intervento indipendente"]
40.54.11;["Asportazione radicale dei linfonodi della regione inguinale in corso di altro intervento"]
40.59.00;["Asportazione radicale di altri linfonodi, NAS"]
40.59.10;["Asportazione radicale di altri linfonodi quale intervento indipendente, NAS"]
40.59.11;["Asportazione radicale di linfonodi mediastinici quale intervento indipendente"]
40.59.12;["Asportazione radicale di linfonodi peribronchiali quale intervento indipendente"]
40.59.19;["Asportazione radicale di altri linfonodi quale intervento indipendente, altro"]
40.59.2;["Asportazione radicale di altri linfonodi in corso di altro intervento"]
40.59.20;["Asportazione radicale di altri linfonodi in corso di altro intervento, NAS"]
40.59.21;["Asportazione radicale di linfonodi mediastinici in corso di altro intervento"]
40.59.22;["Asportazione radicale di linfonodi peribronchiali in corso di altro intervento"]
